City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Chuy,UY,2020-10-29 21:02:02,-33.7,-53.46,57.51,67,16,14.45
133,Poum,NC,2020-10-29 21:04:56,-20.23,164.02,76.73,69,79,12.55
134,Fort Nelson,CA,2020-10-29 21:04:57,58.81,-122.7,33.94,84,16,3.18
135,Slave Lake,CA,2020-10-29 21:04:57,55.28,-114.77,35.6,84,76,4.68
136,Belmonte,BR,2020-10-29 21:04:57,-15.86,-38.88,78.8,78,75,13.87
137,Saint George,US,2020-10-29 21:03:24,37.1,-113.58,73.0,15,1,0.13
138,Mount Isa,AU,2020-10-29 21:00:25,-20.73,139.5,55.4,43,0,4.7
139,Calama,CL,2020-10-29 21:04:58,-22.47,-68.93,71.6,9,0,24.16
140,Upernavik,GL,2020-10-29 21:02:07,72.79,-56.15,22.37,89,100,2.71
141,Kilindoni,TZ,2020-10-29 21:04:58,-7.91,39.67,79.63,77,11,12.73
142,Rabo De Peixe,PT,2020-10-29 21:03:26,37.8,-25.58,69.8,94,75,12.75
143,Hami,CN,2020-10-29 21:02:53,42.8,93.45,45.48,53,100,14.83
144,Kintampo,GH,2020-10-29 21:04:59,8.06,-1.73,78.96,57,37,2.8
145,Morgan City,US,2020-10-29 21:04:59,29.7,-91.21,66.99,52,1,16.11
146,Nikolskoye,RU,2020-10-29 21:01:56,59.7,30.79,50.0,93,90,2.24
147,Nanortalik,GL,2020-10-29 21:02:59,60.14,-45.24,30.72,95,100,13.89
148,Bolotnoye,RU,2020-10-29 21:05:00,55.67,84.4,29.3,99,100,17.92
149,Araguaina,BR,2020-10-29 21:02:44,-7.19,-48.21,85.17,60,95,3.13
150,Dauriya,RU,2020-10-29 21:05:01,49.93,116.87,30.11,87,100,3.94
151,Provideniya,RU,2020-10-29 21:02:09,64.38,-173.3,19.4,67,0,2.24
152,Rio Blanco,MX,2020-10-29 21:05:01,18.83,-97.15,68.34,75,96,5.84
153,Sao Filipe,CV,2020-10-29 21:02:02,14.9,-24.5,81.25,68,0,8.81
154,Lorengau,PG,2020-10-29 21:05:02,-2.02,147.27,81.7,79,97,7.74
155,Cabadiangan,PH,2020-10-29 21:05:02,9.75,122.47,77.13,89,96,8.03
156,Kupino,RU,2020-10-29 21:05:03,54.37,77.3,32.41,96,100,15.46
157,Mananjary,MG,2020-10-29 21:05:03,-21.22,48.33,71.2,86,75,11.97
158,Victoria,HK,2020-10-29 21:01:14,22.29,114.16,75.0,83,64,1.01
159,Karaton,ID,2020-10-29 21:05:04,-6.34,106.1,81.0,83,20,6.93
160,Barentu,ER,2020-10-29 21:05:04,15.11,37.59,74.82,40,0,3.49
161,Moose Factory,CA,2020-10-29 21:05:04,51.26,-80.61,26.2,77,0,6.96
162,Aklavik,CA,2020-10-29 21:03:08,68.22,-135.01,14.65,92,100,4.99
163,Valparaiso,CL,2020-10-29 21:02:03,-33.04,-71.63,69.8,37,0,8.05
164,Samarai,PG,2020-10-29 21:03:29,-10.62,150.67,79.59,81,83,6.53
165,Sao Joao Da Barra,BR,2020-10-29 21:02:21,-21.64,-41.05,80.6,78,20,14.99
166,Ostrovnoy,RU,2020-10-29 21:05:05,68.05,39.51,43.0,85,100,26.19
167,Barrow,US,2020-10-29 21:02:04,71.29,-156.79,14.0,85,90,11.41
168,Calvinia,ZA,2020-10-29 21:05:06,-31.47,19.78,46.83,74,0,3.31
169,Kutum,SD,2020-10-29 21:02:41,14.2,24.67,75.81,23,38,11.41
170,Abnub,EG,2020-10-29 21:05:06,27.27,31.15,75.2,64,0,14.99
171,Mar Del Plata,AR,2020-10-29 21:01:32,-38.0,-57.56,55.4,47,20,12.75
172,Adrar,MR,2020-10-29 21:05:06,20.5,-10.07,84.94,14,52,8.25
173,Elko,US,2020-10-29 21:05:07,41.0,-115.5,68.0,18,0,5.01
174,Jaumave,MX,2020-10-29 21:05:07,23.42,-99.38,78.8,19,5,3.36
175,Arraial Do Cabo,BR,2020-10-29 21:00:05,-22.97,-42.03,77.0,94,90,4.7
176,Berbera,SO,2020-10-29 21:05:07,10.44,45.01,81.57,68,0,1.39
177,Blagoyevo,RU,2020-10-29 21:05:08,63.37,47.92,43.41,93,100,8.55
